orthogroup,assignment_status,accession,prepared_protein_id,source_protein_id,gene_id,gene_name,mapping_status
OG0000002,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_417606.1,NP_417606.1,b3137,kbaY,mapped
OG0000002,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000022770.1,WP_000022770.1,EFER_RS21730,kbaY,mapped
OG0000002,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354448.1,WP_038354448.1,C1192_RS20040,kbaY,mapped
OG0000002,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000022766.1,WP_000022766.1,EAS44_RS03740,kbaY,mapped
OG0000002,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000275539.1,WP_000275539.1,EAS44_RS03175,EAS44_RS03175,mapped
OG0000002,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000289810.1,WP_000289810.1,EAS44_RS09815,gatY,mapped
OG0000002,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000457124.1,WP_000457124.1,EAS44_RS01050,EAS44_RS01050,mapped
OG0000002,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000878877.1,WP_000878877.1,EAS44_RS11870,ydjI,mapped
OG0000002,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000961378.1,WP_000961378.1,EAS44_RS01055,EAS44_RS01055,mapped
OG0000002,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135519703.1,WP_135519703.1,FEM44_RS06720,kbaY,mapped
OG0000002,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135521980.1,WP_135521980.1,FEM44_RS00695,gatY,mapped
OG0000002,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135523550.1,WP_135523550.1,FEM44_RS12310,FEM44_RS12310,mapped
OG0000002,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135523899.1,WP_135523899.1,FEM44_RS07310,FEM44_RS07310,mapped
OG0000002,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000022773.1,WP_000022773.1,AABJ99_RS03220,kbaY,mapped
OG0000002,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000878883.1,WP_000878883.1,AABJ99_RS10915,ydjI,mapped
OG0000002,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021317.1,WP_039021317.1,AABJ99_RS02615,AABJ99_RS02615,mapped
OG0000002,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021737.1,WP_039021737.1,AABJ99_RS08795,gatY,mapped
OG0000002,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021751.1,WP_039021751.1,AABJ99_RS00330,AABJ99_RS00330,mapped
OG0000002,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021752.1,WP_039021752.1,AABJ99_RS00335,AABJ99_RS00335,mapped
OG0000003,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415065.1,NP_415065.1,b0532,sfmD,mapped
OG0000003,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415460.1,NP_415460.1,b0940,elfC,mapped
OG0000003,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_417613.1,NP_417613.1,b3144,yraJ,mapped
OG0000003,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418737.1,NP_418737.1,b4317,fimD,mapped
OG0000003,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_009518785.1,YP_009518785.1,b1505,ydeT,mapped
OG0000003,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_001049812.1,WP_001049812.1,EFER_RS17085,EFER_RS17085,mapped
OG0000003,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354432.1,WP_038354432.1,C1192_RS06775,C1192_RS06775,mapped
OG0000003,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354897.1,WP_038354897.1,C1192_RS13395,fimD,mapped
OG0000003,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038355336.1,WP_038355336.1,C1192_RS15040,C1192_RS15040,mapped
OG0000003,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000120948.1,WP_000120948.1,EAS44_RS21105,fimD,mapped
OG0000003,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001049762.1,WP_001049762.1,EAS44_RS02300,EAS44_RS02300,mapped
OG0000003,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001350647.1,WP_001350647.1,EAS44_RS13065,EAS44_RS13065,mapped
OG0000003,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135522897.1,WP_135522897.1,FEM44_RS19275,FEM44_RS19275,mapped
OG0000003,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135523355.1,WP_135523355.1,FEM44_RS10045,FEM44_RS10045,mapped
OG0000003,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039020330.1,WP_039020330.1,AABJ99_RS23670,lpfC-O113,mapped
OG0000003,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039020422.1,WP_039020422.1,AABJ99_RS20695,fimD,mapped
OG0000003,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021629.1,WP_039021629.1,AABJ99_RS19110,AABJ99_RS19110,mapped
OG0000003,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021848.1,WP_039021848.1,AABJ99_RS12340,AABJ99_RS12340,mapped
OG0000004,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416080.1,NP_416080.1,b1562,hokD,mapped
OG0000004,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_025292.1,YP_025292.1,b4412,hokC,mapped
OG0000004,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_025301.1,YP_025301.1,b4428,hokB,mapped
OG0000004,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000809168.1,WP_000809168.1,EFER_RS00320,mokC,mapped
OG0000004,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000813254.1,WP_000813254.1,,,ambiguous_gene
OG0000004,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_042348928.1,WP_042348928.1,C1192_RS12890,mokC,mapped
OG0000004,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_236942003.1,WP_236942003.1,C1192_RS05295,C1192_RS05295,mapped
OG0000004,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000809168.1,WP_000809168.1,EAS44_RS20565,mokC,mapped
OG0000004,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000813256.1,WP_000813256.1,EAS44_RS14280,hokD,mapped
OG0000004,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_223195199.1,WP_223195199.1,EAS44_RS00535,EAS44_RS00535,mapped
OG0000004,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_000809168.1,WP_000809168.1,FEM44_RS14595,mokC,mapped
OG0000004,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_000813254.1,WP_000813254.1,FEM44_RS19525,hokD,mapped
OG0000004,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_000813255.1,WP_000813255.1,FEM44_RS20555,hokD,mapped
OG0000004,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_064527420.1,WP_064527420.1,FEM44_RS22200,FEM44_RS22200,mapped
OG0000004,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000809168.1,WP_000809168.1,AABJ99_RS19815,mokC,mapped
OG0000004,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_001309484.1,WP_001309484.1,AABJ99_RS12865,hokB,mapped
OG0000004,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_001372321.1,WP_001372321.1,AABJ99_RS24165,AABJ99_RS24165,mapped
OG0000004,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_168796021.1,WP_168796021.1,AABJ99_RS09625,hokD,mapped
OG0000005,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418698.1,NP_418698.1,b4278,insG,mapped
OG0000005,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000547318.1,WP_000547318.1,,,ambiguous_gene
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194760.1,WP_103194760.1,,,ambiguous_gene
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194762.1,WP_103194762.1,C1192_RS01060,C1192_RS01060,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194765.1,WP_103194765.1,,,ambiguous_gene
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194771.1,WP_103194771.1,,,ambiguous_gene
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194780.1,WP_103194780.1,,,ambiguous_gene
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194784.1,WP_103194784.1,C1192_RS07595,C1192_RS07595,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194787.1,WP_103194787.1,C1192_RS08245,C1192_RS08245,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194794.1,WP_103194794.1,C1192_RS10025,C1192_RS10025,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194807.1,WP_103194807.1,C1192_RS14070,C1192_RS14070,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194809.1,WP_103194809.1,C1192_RS15560,C1192_RS15560,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194814.1,WP_103194814.1,C1192_RS18825,C1192_RS18825,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194816.1,WP_103194816.1,C1192_RS20170,C1192_RS20170,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194821.1,WP_103194821.1,C1192_RS21755,C1192_RS21755,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194823.1,WP_103194823.1,C1192_RS22530,C1192_RS22530,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194846.1,WP_103194846.1,C1192_RS24745,C1192_RS24745,mapped
OG0000005,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194847.1,WP_103194847.1,C1192_RS24830,C1192_RS24830,mapped
OG0000006,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_025297.1,YP_025297.1,b4419,ldrA,mapped
OG0000006,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_025298.1,YP_025298.1,b4421,ldrB,mapped
OG0000006,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_025299.1,YP_025299.1,b4423,ldrC,mapped
OG0000006,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_026227.1,YP_026227.1,b4453,ldrD,mapped
OG0000006,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_001295224.1,WP_001295224.1,,,ambiguous_gene
OG0000006,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000170974.1,WP_000170974.1,,,ambiguous_gene
OG0000006,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000170745.1,WP_000170745.1,EAS44_RS01640,EAS44_RS01640,mapped
OG0000006,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000170954.1,WP_000170954.1,EAS44_RS14580,EAS44_RS14580,mapped
OG0000006,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001295224.1,WP_001295224.1,,,ambiguous_gene
OG0000006,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_002431793.1,WP_002431793.1,,,ambiguous_gene
OG0000006,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_016265910.1,WP_016265910.1,FEM44_RS21085,FEM44_RS21085,mapped
OG0000006,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_074399497.1,WP_074399497.1,FEM44_RS08835,FEM44_RS08835,mapped
OG0000006,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_130216147.1,WP_130216147.1,FEM44_RS21075,FEM44_RS21075,mapped
OG0000006,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000170736.1,WP_000170736.1,AABJ99_RS00985,AABJ99_RS00985,mapped
OG0000006,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000170738.1,WP_000170738.1,,,ambiguous_gene
OG0000006,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000170956.1,WP_000170956.1,AABJ99_RS13680,AABJ99_RS13680,mapped
OG0000006,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000170965.1,WP_000170965.1,AABJ99_RS13685,AABJ99_RS13685,mapped
OG0000006,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_001295224.1,WP_001295224.1,AABJ99_RS00965,AABJ99_RS00965,mapped
OG0000007,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414804.1,NP_414804.1,b0270,yagG,mapped
OG0000007,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416133.1,NP_416133.1,b1616,uidB,mapped
OG0000007,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418114.4,NP_418114.4,b3657,yicJ,mapped
OG0000007,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418313.4,NP_418313.4,b3877,yihP,mapped
OG0000007,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418544.2,NP_418544.2,b4120,melB,mapped
OG0000007,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_026275.1,YP_026275.1,b3876,yihO,mapped
OG0000007,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000834422.1,WP_000834422.1,EFER_RS19730,EFER_RS19730,mapped
OG0000007,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354321.1,WP_038354321.1,C1192_RS04180,uidB,mapped
OG0000007,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354865.1,WP_038354865.1,C1192_RS17340,C1192_RS17340,mapped
OG0000007,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000834420.1,WP_000834420.1,EAS44_RS01020,yicJ,mapped
OG0000007,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001075831.1,WP_001075831.1,EAS44_RS12670,uidB,mapped
OG0000007,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135522383.1,WP_135522383.1,FEM44_RS23005,uidB,mapped
OG0000007,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000834430.1,WP_000834430.1,AABJ99_RS00300,yicJ,mapped
OG0000007,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_001075890.1,WP_001075890.1,AABJ99_RS11715,uidB,mapped
OG0000007,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_001279685.1,WP_001279685.1,AABJ99_RS22850,yihO,mapped
OG0000007,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039020888.1,WP_039020888.1,AABJ99_RS00715,AABJ99_RS00715,mapped
OG0000007,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021514.1,WP_039021514.1,AABJ99_RS22845,yihP,mapped
OG0000008,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416226.1,NP_416226.1,b1711,btuC,mapped
OG0000008,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418708.1,NP_418708.1,b4288,fecD,mapped
OG0000008,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000954971.1,WP_000954971.1,EFER_RS06840,btuC,mapped
OG0000008,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000910396.1,WP_000910396.1,C1192_RS15485,shuU,mapped
OG0000008,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354300.1,WP_038354300.1,C1192_RS03735,btuC,mapped
OG0000008,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354407.1,WP_038354407.1,C1192_RS20365,C1192_RS20365,mapped
OG0000008,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354504.1,WP_038354504.1,C1192_RS06165,C1192_RS06165,mapped
OG0000008,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000684856.1,WP_000684856.1,EAS44_RS21480,fecD,mapped
OG0000008,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000910402.1,WP_000910402.1,EAS44_RS01825,shuU,mapped
OG0000008,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000956528.1,WP_000956528.1,EAS44_RS12175,btuC,mapped
OG0000008,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000986428.1,WP_000986428.1,EAS44_RS04260,EAS44_RS04260,mapped
OG0000008,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001261263.1,WP_001261263.1,EAS44_RS14690,EAS44_RS14690,mapped
OG0000008,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135522332.1,WP_135522332.1,FEM44_RS23495,btuC,mapped
OG0000008,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135524000.1,WP_135524000.1,FEM44_RS06205,FEM44_RS06205,mapped
OG0000008,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_217496769.1,WP_217496769.1,FEM44_RS08650,shuU,mapped
OG0000008,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000956530.1,WP_000956530.1,AABJ99_RS11220,btuC,mapped
OG0000008,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_001261252.1,WP_001261252.1,AABJ99_RS13790,AABJ99_RS13790,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414832.2,NP_414832.2,b0298,insE1,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414833.1,NP_414833.1,b0299,insF1,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414906.1,NP_414906.1,b0372,insF2,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414907.2,NP_414907.2,b0373,insE2,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415072.2,NP_415072.2,b0540,insE3,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415073.1,NP_415073.1,b0541,insF3,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415545.1,NP_415545.1,b1026,insF4,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415546.2,NP_415546.2,b1027,insE4,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416592.2,NP_416592.2,b2088,insE5,mapped
OG0000009,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416593.1,NP_416593.1,b2089,insF5,mapped
OG0000009,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_134895654.1,WP_134895654.1,,,ambiguous_gene
OG0000009,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194759.1,WP_103194759.1,C1192_RS00175,C1192_RS00175,mapped
OG0000009,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194781.1,WP_103194781.1,,,ambiguous_gene
OG0000009,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194819.1,WP_103194819.1,C1192_RS21550,C1192_RS21550,mapped
OG0000009,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194838.1,WP_103194838.1,C1192_RS24470,C1192_RS24470,mapped
OG0000009,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_085947771.1,WP_085947771.1,,,ambiguous_gene
OG0000010,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418486.1,NP_418486.1,b4062,soxS,mapped
OG0000010,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000019480.1,WP_000019480.1,EFER_RS20765,soxS,mapped
OG0000010,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000019357.1,WP_000019357.1,C1192_RS18660,soxS,mapped
OG0000010,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038355993.1,WP_038355993.1,C1192_RS24675,C1192_RS24675,mapped
OG0000010,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_052463090.1,WP_052463090.1,C1192_RS24380,C1192_RS24380,mapped
OG0000010,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_158650422.1,WP_158650422.1,C1192_RS24385,C1192_RS24385,mapped
OG0000010,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000019358.1,WP_000019358.1,EAS44_RS23005,soxS,mapped
OG0000010,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000620995.1,WP_000620995.1,EAS44_RS19120,EAS44_RS19120,mapped
OG0000010,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_000019357.1,WP_000019357.1,FEM44_RS12185,soxS,mapped
OG0000010,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135523203.1,WP_135523203.1,FEM44_RS16110,FEM44_RS16110,mapped
OG0000010,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135524083.1,WP_135524083.1,FEM44_RS10580,FEM44_RS10580,mapped
OG0000010,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135524157.1,WP_135524157.1,FEM44_RS04840,FEM44_RS04840,mapped
OG0000010,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_138159024.1,WP_138159024.1,FEM44_RS12810,FEM44_RS12810,mapped
OG0000010,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_138159196.1,WP_138159196.1,FEM44_RS22545,FEM44_RS22545,mapped
