orthogroup,accession_a,protein_a,gene_a,accession_b,protein_b,gene_b
OG0000015,GCF_000005845.2,GCF_000005845.2__NP_415145.1,b0612,GCF_003697165.2,GCF_003697165.2__WP_000050328.1,EAS44_RS17760
OG0000015,GCF_000005845.2,GCF_000005845.2__NP_415291.1,b0770,GCF_003697165.2,GCF_003697165.2__WP_001304712.1,EAS44_RS23060
OG0000015,GCF_000005845.2,GCF_000005845.2__NP_417535.1,b3063,GCF_003697165.2,GCF_003697165.2__WP_000804955.1,EAS44_RS04075
OG0000016,GCF_000005845.2,GCF_000005845.2__NP_417269.1,b2789,GCF_003697165.2,GCF_003697165.2__WP_000097082.1,EAS44_RS06040
OG0000016,GCF_000005845.2,GCF_000005845.2__NP_417596.1,b3127,GCF_003697165.2,GCF_003697165.2__WP_000979025.1,EAS44_RS03790
OG0000016,GCF_000005845.2,GCF_000005845.2__NP_418776.1,b4356,GCF_003697165.2,GCF_003697165.2__WP_000410113.1,EAS44_RS20895
OG0000017,GCF_000005845.2,GCF_000005845.2__NP_415064.1,b0531,GCF_003697165.2,GCF_003697165.2__WP_000649743.1,EAS44_RS02295
OG0000017,GCF_000005845.2,GCF_000005845.2__NP_418736.3,b4316,GCF_003697165.2,GCF_003697165.2__WP_000066568.1,EAS44_RS21110
OG0000018,GCF_000005845.2,GCF_000005845.2__NP_417342.1,b2866,GCF_003697165.2,GCF_003697165.2__WP_000388181.1,EAS44_RS05595
OG0000018,GCF_000005845.2,GCF_000005845.2__NP_417357.1,b2881,GCF_003697165.2,GCF_003697165.2__WP_000583654.1,EAS44_RS05520
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_414894.2,b0360,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_414895.1,b0361,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_415920.1,b1402,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_415921.2,b1403,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_416500.1,b1996,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_417337.1,b2860,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_417338.3,b2861,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_417516.3,b3044,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_417517.1,b3045,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_418692.2,b4272,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__NP_418693.1,b4273,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000019,GCF_000005845.2,GCF_000005845.2__YP_026163.2,b1997,GCF_003697165.2,GCF_003697165.2__WP_088130945.1,EAS44_RS00120
OG0000020,GCF_000005845.2,GCF_000005845.2__NP_417899.1,b3442,GCF_003697165.2,GCF_003697165.2__WP_000502504.1,EAS44_RS20055
OG0000021,GCF_000005845.2,GCF_000005845.2__NP_415075.1,b0543,GCF_003697165.2,GCF_003697165.2__WP_001070440.1,EAS44_RS11055
OG0000021,GCF_000005845.2,GCF_000005845.2__NP_416116.1,b1599,GCF_003697165.2,GCF_003697165.2__WP_000046661.1,EAS44_RS12760
OG0000022,GCF_000005845.2,GCF_000005845.2__NP_416478.2,b1969,GCF_003697165.2,GCF_003697165.2__WP_001353857.1,EAS44_RS10885
OG0000022,GCF_000005845.2,GCF_000005845.2__NP_417497.1,b3025,GCF_003697165.2,GCF_003697165.2__WP_001221493.1,EAS44_RS04305
OG0000023,GCF_000005845.2,GCF_000005845.2__NP_416328.1,b1814,GCF_003697165.2,GCF_003697165.2__WP_000624295.1,EAS44_RS11670
OG0000023,GCF_000005845.2,GCF_000005845.2__YP_026204.1,b4471,GCF_003697165.2,GCF_003697165.2__WP_000622122.1,EAS44_RS03850
OG0000025,GCF_000005845.2,GCF_000005845.2__NP_415414.4,b0894,GCF_003697165.2,GCF_003697165.2__WP_000850286.1,EAS44_RS16380
OG0000025,GCF_000005845.2,GCF_000005845.2__NP_416104.1,b1587,GCF_003697165.2,GCF_003697165.2__WP_000041666.1,EAS44_RS12825
OG0000025,GCF_000005845.2,GCF_000005845.2__NP_416105.4,b1588,GCF_003697165.2,GCF_003697165.2__WP_001468025.1,EAS44_RS12820
OG0000026,GCF_000005845.2,GCF_000005845.2__NP_415962.2,b1445,GCF_003697165.2,GCF_003697165.2__WP_000061178.1,EAS44_RS13330
OG0000026,GCF_000005845.2,GCF_000005845.2__YP_588474.1,b4559,GCF_003697165.2,GCF_003697165.2__WP_001173343.1,EAS44_RS22630
OG0000027,GCF_000005845.2,GCF_000005845.2__NP_416010.1,b1493,GCF_003697165.2,GCF_003697165.2__WP_000358860.1,EAS44_RS13135
OG0000027,GCF_000005845.2,GCF_000005845.2__NP_417974.1,b3517,GCF_003697165.2,GCF_003697165.2__WP_000372259.1,EAS44_RS01765
OG0000028,GCF_000005845.2,GCF_000005845.2__NP_418297.1,b3860,GCF_003697165.2,GCF_003697165.2__WP_000725344.1,EAS44_RS24155
OG0000030,GCF_000005845.2,GCF_000005845.2__NP_416088.1,b1570,GCF_003697165.2,GCF_003697165.2__WP_001302016.1,EAS44_RS15170
OG0000031,GCF_000005845.2,GCF_000005845.2__NP_416963.1,b2468,GCF_003697165.2,GCF_003697165.2__WP_001078852.1,EAS44_RS07790
OG0000031,GCF_000005845.2,GCF_000005845.2__NP_417363.2,b2887,GCF_003697165.2,GCF_003697165.2__WP_001363023.1,EAS44_RS05495
OG0000032,GCF_000005845.2,GCF_000005845.2__NP_415611.1,b1093,GCF_003697165.2,GCF_003697165.2__WP_001008535.1,EAS44_RS15495
OG0000033,GCF_000005845.2,GCF_000005845.2__NP_414739.1,b0197,GCF_003697165.2,GCF_003697165.2__WP_000874226.1,EAS44_RS19605
OG0000033,GCF_000005845.2,GCF_000005845.2__NP_418117.1,b3661,GCF_003697165.2,GCF_003697165.2__WP_000779409.1,EAS44_RS00990
OG0000034,GCF_000005845.2,GCF_000005845.2__NP_414891.4,b0357,GCF_003697165.2,GCF_003697165.2__WP_001141271.1,EAS44_RS18855
OG0000034,GCF_000005845.2,GCF_000005845.2__NP_416608.1,b2105,GCF_003697165.2,GCF_003697165.2__WP_000019944.1,EAS44_RS09770
OG0000036,GCF_000005845.2,GCF_000005845.2__NP_415324.1,b0803,GCF_003697165.2,GCF_003697165.2__WP_001113264.1,EAS44_RS09890
OG0000036,GCF_000005845.2,GCF_000005845.2__NP_415324.1,b0803,GCF_003697165.2,GCF_003697165.2__WP_001278689.1,EAS44_RS00440
OG0000037,GCF_000005845.2,GCF_000005845.2__NP_415423.1,b0903,GCF_003697165.2,GCF_003697165.2__WP_001292822.1,EAS44_RS16350
OG0000037,GCF_000005845.2,GCF_000005845.2__YP_026205.1,b3114,GCF_003697165.2,GCF_003697165.2__WP_000861709.1,EAS44_RS03840
OG0000038,GCF_000005845.2,GCF_000005845.2__NP_415673.1,b1155,GCF_003697165.2,GCF_003697165.2__WP_001089535.1,EAS44_RS07015
OG0000038,GCF_000005845.2,GCF_000005845.2__NP_415673.1,b1155,GCF_003697165.2,GCF_003697165.2__WP_001164151.1,EAS44_RS10020
OG0000038,GCF_000005845.2,GCF_000005845.2__NP_416855.1,b2354,GCF_003697165.2,GCF_003697165.2__WP_001089535.1,EAS44_RS07015
OG0000038,GCF_000005845.2,GCF_000005845.2__NP_416855.1,b2354,GCF_003697165.2,GCF_003697165.2__WP_001164151.1,EAS44_RS10020
OG0000039,GCF_000005845.2,GCF_000005845.2__NP_415741.1,b1223,GCF_003697165.2,GCF_003697165.2__WP_000019827.1,EAS44_RS14540
OG0000039,GCF_000005845.2,GCF_000005845.2__NP_415986.1,b1469,GCF_003697165.2,GCF_003697165.2__WP_001207907.1,EAS44_RS13215
OG0000040,GCF_000005845.2,GCF_000005845.2__NP_415742.1,b1224,GCF_003697165.2,GCF_003697165.2__WP_000032955.1,EAS44_RS14535
OG0000040,GCF_000005845.2,GCF_000005845.2__NP_415985.1,b1468,GCF_003697165.2,GCF_003697165.2__WP_001331514.1,EAS44_RS13220
OG0000041,GCF_000005845.2,GCF_000005845.2__NP_415984.1,b1467,GCF_003697165.2,GCF_003697165.2__WP_000702551.1,EAS44_RS13225
OG0000042,GCF_000005845.2,GCF_000005845.2__NP_415745.1,b1227,GCF_003697165.2,GCF_003697165.2__WP_001160110.1,EAS44_RS14520
OG0000043,GCF_000005845.2,GCF_000005845.2__NP_416277.1,b1763,GCF_003697165.2,GCF_003697165.2__WP_001332112.1,EAS44_RS11920
OG0000044,GCF_000005845.2,GCF_000005845.2__NP_416286.4,b1772,GCF_003697165.2,GCF_003697165.2__WP_001298227.1,EAS44_RS11875
OG0000044,GCF_000005845.2,GCF_000005845.2__NP_417833.1,b3374,GCF_003697165.2,GCF_003697165.2__WP_000048611.1,EAS44_RS03195
OG0000045,GCF_000005845.2,GCF_000005845.2__NP_417449.1,b2975,GCF_003697165.2,GCF_003697165.2__WP_000259302.1,EAS44_RS04600
OG0000045,GCF_000005845.2,GCF_000005845.2__NP_418060.1,b3603,GCF_003697165.2,GCF_003697165.2__WP_001297977.1,EAS44_RS01320
OG0000046,GCF_000005845.2,GCF_000005845.2__NP_418009.2,b3553,GCF_003697165.2,GCF_003697165.2__WP_000805027.1,EAS44_RS01555
OG0000046,GCF_000005845.2,GCF_000005845.2__NP_418009.2,b3553,GCF_003697165.2,GCF_003697165.2__WP_001331592.1,EAS44_RS05785
OG0000046,GCF_000005845.2,GCF_000005845.2__NP_418009.2,b3553,GCF_003697165.2,GCF_003697165.2__WP_001332164.1,EAS44_RS02110
OG0000047,GCF_000005845.2,GCF_000005845.2__NP_418120.2,b3664,GCF_003697165.2,GCF_003697165.2__WP_001363077.1,EAS44_RS00970
OG0000047,GCF_000005845.2,GCF_000005845.2__NP_418170.1,b3714,GCF_003697165.2,GCF_003697165.2__WP_000082693.1,EAS44_RS24985
OG0000048,GCF_000005845.2,GCF_000005845.2__NP_418488.1,b4064,GCF_003697165.2,GCF_003697165.2__WP_000106892.1,EAS44_RS22995
OG0000048,GCF_000005845.2,GCF_000005845.2__YP_026186.1,b4464,GCF_003697165.2,GCF_003697165.2__WP_000012167.1,EAS44_RS05505
OG0000049,GCF_000005845.2,GCF_000005845.2__NP_417935.1,b3478,GCF_003697165.2,GCF_003697165.2__WP_001008954.1,EAS44_RS02015
OG0000050,GCF_000005845.2,GCF_000005845.2__YP_010051194.1,b2592,GCF_003697165.2,GCF_003697165.2__WP_000147358.1,EAS44_RS05870
OG0000051,GCF_000005845.2,GCF_000005845.2__NP_418476.1,b4052,GCF_003697165.2,GCF_003697165.2__WP_001296639.1,EAS44_RS23110
OG0000052,GCF_000005845.2,GCF_000005845.2__NP_414585.1,b0043,GCF_003697165.2,GCF_003697165.2__WP_025857873.1,EAS44_RS20405
OG0000052,GCF_000005845.2,GCF_000005845.2__NP_416214.1,b1699,GCF_003697165.2,GCF_003697165.2__WP_001278484.1,EAS44_RS12235
OG0000053,GCF_000005845.2,GCF_000005845.2__NP_414586.1,b0044,GCF_003697165.2,GCF_003697165.2__WP_000203741.1,EAS44_RS20400
OG0000053,GCF_000005845.2,GCF_000005845.2__NP_416215.1,b1700,GCF_003697165.2,GCF_003697165.2__WP_000081072.1,EAS44_RS12230
OG0000054,GCF_000005845.2,GCF_000005845.2__NP_414782.1,b0248,GCF_003697165.2,GCF_003697165.2__WP_001198922.1,EAS44_RS00620
OG0000054,GCF_000005845.2,GCF_000005845.2__NP_417130.1,b2643,GCF_003697165.2,GCF_003697165.2__WP_001198922.1,EAS44_RS00620
OG0000055,GCF_000005845.2,GCF_000005845.2__NP_414786.4,b0252,GCF_003697165.2,GCF_003697165.2__WP_001175142.1,EAS44_RS04800
OG0000055,GCF_000005845.2,GCF_000005845.2__NP_414786.4,b0252,GCF_003697165.2,GCF_003697165.2__WP_001234468.1,EAS44_RS00510
OG0000055,GCF_000005845.2,GCF_000005845.2__NP_414786.4,b0252,GCF_003697165.2,GCF_003697165.2__WP_001234651.1,EAS44_RS21300
OG0000055,GCF_000005845.2,GCF_000005845.2__NP_417122.1,b2633,GCF_003697165.2,GCF_003697165.2__WP_001175142.1,EAS44_RS04800
OG0000055,GCF_000005845.2,GCF_000005845.2__NP_417122.1,b2633,GCF_003697165.2,GCF_003697165.2__WP_001234468.1,EAS44_RS00510
OG0000055,GCF_000005845.2,GCF_000005845.2__NP_417122.1,b2633,GCF_003697165.2,GCF_003697165.2__WP_001234651.1,EAS44_RS21300
OG0000056,GCF_000005845.2,GCF_000005845.2__NP_414878.1,b0344,GCF_003697165.2,GCF_003697165.2__WP_000177872.1,EAS44_RS18885
OG0000056,GCF_000005845.2,GCF_000005845.2__YP_026199.1,b3076,GCF_003697165.2,GCF_003697165.2__WP_001082822.1,EAS44_RS04005
OG0000057,GCF_000005845.2,GCF_000005845.2__NP_415042.1,b0509,GCF_003697165.2,GCF_003697165.2__WP_000765828.1,EAS44_RS18125
OG0000057,GCF_000005845.2,GCF_000005845.2__NP_417594.3,b3125,GCF_003697165.2,GCF_003697165.2__WP_001363040.1,EAS44_RS03800
OG0000058,GCF_000005845.2,GCF_000005845.2__NP_415047.1,b0514,GCF_003697165.2,GCF_003697165.2__WP_001331490.1,EAS44_RS18105
OG0000058,GCF_000005845.2,GCF_000005845.2__NP_417593.4,b3124,GCF_003697165.2,GCF_003697165.2__WP_001298324.1,EAS44_RS03805
OG0000059,GCF_000005845.2,GCF_000005845.2__NP_415066.2,b0533,GCF_003697165.2,GCF_003697165.2__WP_000634198.1,EAS44_RS02320
OG0000059,GCF_000005845.2,GCF_000005845.2__NP_415461.1,b0941,GCF_003697165.2,GCF_003697165.2__WP_000634198.1,EAS44_RS02320
OG0000059,GCF_000005845.2,GCF_000005845.2__NP_417614.1,b3145,GCF_003697165.2,GCF_003697165.2__WP_000634198.1,EAS44_RS02320
OG0000060,GCF_000005845.2,GCF_000005845.2__NP_415415.1,b0895,GCF_003697165.2,GCF_003697165.2__WP_000213098.1,EAS44_RS16375
OG0000060,GCF_000005845.2,GCF_000005845.2__NP_416106.1,b1589,GCF_003697165.2,GCF_003697165.2__WP_000213028.1,EAS44_RS12815
OG0000061,GCF_000005845.2,GCF_000005845.2__NP_415416.1,b0896,GCF_003697165.2,GCF_003697165.2__WP_000534662.1,EAS44_RS16370
OG0000061,GCF_000005845.2,GCF_000005845.2__NP_416107.1,b1590,GCF_003697165.2,GCF_003697165.2__WP_000526507.1,EAS44_RS12810
OG0000062,GCF_000005845.2,GCF_000005845.2__NP_415843.2,b1327,GCF_003697165.2,GCF_003697165.2__WP_001210030.1,EAS44_RS13040
OG0000062,GCF_000005845.2,GCF_000005845.2__NP_415843.2,b1327,GCF_003697165.2,GCF_003697165.2__WP_001362863.1,EAS44_RS13670
OG0000063,GCF_000005845.2,GCF_000005845.2__NP_416209.1,b1694,GCF_003697165.2,GCF_003697165.2__WP_000805675.1,EAS44_RS12260
OG0000064,GCF_000005845.2,GCF_000005845.2__NP_416386.4,b1872,GCF_003697165.2,GCF_003697165.2__WP_000176867.1,EAS44_RS11370
OG0000064,GCF_000005845.2,GCF_000005845.2__NP_418007.3,b3551,GCF_003697165.2,GCF_003697165.2__WP_000013974.1,EAS44_RS01565
OG0000065,GCF_000005845.2,GCF_000005845.2__NP_416698.1,b2194,GCF_003697165.2,GCF_003697165.2__WP_001211554.1,EAS44_RS09325
OG0000065,GCF_000005845.2,GCF_000005845.2__NP_418499.1,b4075,GCF_003697165.2,GCF_003697165.2__WP_001032550.1,EAS44_RS22925
OG0000066,GCF_000005845.2,GCF_000005845.2__NP_416749.4,b2246,GCF_003697165.2,GCF_003697165.2__WP_001297939.1,EAS44_RS09070
OG0000067,GCF_000005845.2,GCF_000005845.2__NP_417082.1,b2587,GCF_003697165.2,GCF_003697165.2__WP_000125464.1,EAS44_RS23610
OG0000067,GCF_000005845.2,GCF_000005845.2__NP_417082.1,b2587,GCF_003697165.2,GCF_003697165.2__WP_001298619.1,EAS44_RS07250
OG0000068,GCF_000005845.2,GCF_000005845.2__NP_417318.1,b2841,GCF_003697165.2,GCF_003697165.2__WP_000256426.1,EAS44_RS05630
OG0000069,GCF_000005845.2,GCF_000005845.2__NP_417358.2,b2882,GCF_003697165.2,GCF_003697165.2__WP_001280192.1,EAS44_RS05515
OG0000069,GCF_000005845.2,GCF_000005845.2__NP_418111.1,b3654,GCF_003697165.2,GCF_003697165.2__WP_001295238.1,EAS44_RS01075
OG0000070,GCF_000005845.2,GCF_000005845.2__NP_417461.1,b2987,GCF_003697165.2,GCF_003697165.2__WP_000933275.1,EAS44_RS04500
OG0000070,GCF_000005845.2,GCF_000005845.2__NP_417950.1,b3493,GCF_003697165.2,GCF_003697165.2__WP_000902780.1,EAS44_RS01930
OG0000071,GCF_000005845.2,GCF_000005845.2__NP_418072.1,b3615,GCF_003697165.2,GCF_003697165.2__WP_000982107.1,EAS44_RS01255
OG0000072,GCF_000005845.2,GCF_000005845.2__NP_418320.2,b3884,GCF_003697165.2,GCF_003697165.2__WP_000022286.1,EAS44_RS24090
OG0000073,GCF_000005845.2,GCF_000005845.2__NP_418483.1,b4059,GCF_003697165.2,GCF_003697165.2__WP_000168305.1,EAS44_RS23020
OG0000074,GCF_000005845.2,GCF_000005845.2__NP_418637.1,b4216,GCF_003697165.2,GCF_003697165.2__WP_000175286.1,EAS44_RS21745
OG0000075,GCF_000005845.2,GCF_000005845.2__NP_418732.1,b4312,GCF_003697165.2,GCF_003697165.2__WP_000790583.1,EAS44_RS21130
OG0000075,GCF_000005845.2,GCF_000005845.2__NP_418733.1,b4313,GCF_003697165.2,GCF_003697165.2__WP_000044711.1,EAS44_RS21125
OG0000076,GCF_000005845.2,GCF_000005845.2__NP_416839.1,b2336,GCF_003697165.2,GCF_003697165.2__WP_000120670.1,EAS44_RS08630
OG0000076,GCF_000005845.2,GCF_000005845.2__NP_416839.1,b2336,GCF_003697165.2,GCF_003697165.2__WP_001363619.1,EAS44_RS04985
OG0000077,GCF_000005845.2,GCF_000005845.2__NP_415458.2,b0938,GCF_003697165.2,GCF_003697165.2__WP_001048914.1,EAS44_RS02305
OG0000077,GCF_000005845.2,GCF_000005845.2__NP_415462.1,b0942,GCF_003697165.2,GCF_003697165.2__WP_001048914.1,EAS44_RS02305
OG0000078,GCF_000005845.2,GCF_000005845.2__NP_418045.4,b3588,GCF_003697165.2,GCF_003697165.2__WP_000183978.1,EAS44_RS01395
