baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,relationship,baseline_family_gene_count,alternative_family_gene_count,orthogroups,alternative_gene_ids,alternative_gene_names,renamed_one_to_one
GCF_000005845.2,b0092,ddlB,GCF_003697165.2,one_to_one,1,1,OG0000607,EAS44_RS20150,ddlB,False
GCF_000005845.2,b0093,ftsQ,GCF_003697165.2,one_to_one,1,1,OG0000608,EAS44_RS20145,ftsQ,False
GCF_000005845.2,b0094,ftsA,GCF_003697165.2,one_to_one,1,1,OG0000609,EAS44_RS20140,ftsA,False
GCF_000005845.2,b4840,stfZ,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0095,ftsZ,GCF_003697165.2,one_to_one,1,1,OG0000610,EAS44_RS20135,ftsZ,False
GCF_000005845.2,b0096,lpxC,GCF_003697165.2,one_to_one,1,1,OG0000611,EAS44_RS20130,lpxC,False
GCF_000005845.2,b0097,secM,GCF_003697165.2,one_to_one,1,1,OG0000612,EAS44_RS20125,secM,False
GCF_000005845.2,b0098,secA,GCF_003697165.2,one_to_one,1,1,OG0000613,EAS44_RS20120,secA,False
GCF_000005845.2,b0099,mutT,GCF_003697165.2,one_to_one,1,1,OG0000614,EAS44_RS20115,mutT,False
GCF_000005845.2,b0101,yacG,GCF_003697165.2,one_to_one,1,1,OG0000615,EAS44_RS20110,yacG,False
GCF_000005845.2,b0102,zapD,GCF_003697165.2,one_to_one,1,1,OG0000616,EAS44_RS20105,zapD,False
GCF_000005845.2,b0103,coaE,GCF_003697165.2,one_to_one,1,1,OG0000617,EAS44_RS20100,coaE,False
GCF_000005845.2,b4727,yacM,GCF_003697165.2,no_ortholog,1,0,OG0005481,,,False
GCF_000005845.2,b0104,guaC,GCF_003697165.2,one_to_one,1,1,OG0000618,EAS44_RS20095,guaC,False
GCF_000005845.2,b0106,hofC,GCF_003697165.2,one_to_one,1,1,OG0000619,EAS44_RS20090,hofC,False
GCF_000005845.2,b0107,hofB,GCF_003697165.2,one_to_one,1,1,OG0000415,EAS44_RS20085,gspE,True
GCF_000005845.2,b0108,ppdD,GCF_003697165.2,one_to_one,1,1,OG0000620,EAS44_RS20080,ppdD,False
GCF_000005845.2,b0109,nadC,GCF_003697165.2,one_to_one,1,1,OG0000621,EAS44_RS20075,nadC,False
GCF_000005845.2,b0110,ampD,GCF_003697165.2,one_to_one,1,1,OG0000622,EAS44_RS20070,ampD,False
GCF_000005845.2,b0111,ampE,GCF_003697165.2,one_to_one,1,1,OG0000623,EAS44_RS20065,ampE,False
GCF_000005845.2,b0112,aroP,GCF_003697165.2,one_to_one,1,1,OG0000427,EAS44_RS20060,aroP,False
GCF_000005845.2,b0113,pdhR,GCF_003697165.2,one_to_one,1,1,OG0000624,EAS44_RS20025,pdhR,False
GCF_000005845.2,b0114,aceE,GCF_003697165.2,one_to_one,1,1,OG0000625,EAS44_RS20020,aceE,False
GCF_000005845.2,b0115,aceF,GCF_003697165.2,one_to_one,1,1,OG0000213,EAS44_RS20015,aceF,False
GCF_000005845.2,b0116,lpd,GCF_003697165.2,one_to_one,1,1,OG0000626,EAS44_RS20010,lpdA,True
GCF_000005845.2,b0117,yacH,GCF_003697165.2,one_to_one,1,1,OG0000627,EAS44_RS20005,yacH,False
GCF_000005845.2,b0118,acnB,GCF_003697165.2,one_to_one,1,1,OG0000214,EAS44_RS20000,acnB,False
GCF_000005845.2,b0119,yacL,GCF_003697165.2,one_to_one,1,1,OG0000628,EAS44_RS19995,yacL,False
GCF_000005845.2,b0120,speD,GCF_003697165.2,one_to_one,1,1,OG0000629,EAS44_RS19990,speD,False
GCF_000005845.2,b0121,speE,GCF_003697165.2,one_to_one,1,1,OG0000630,EAS44_RS19985,speE,False
GCF_000005845.2,b0122,yacC,GCF_003697165.2,one_to_one,1,1,OG0000631,EAS44_RS19980,yacC,False
GCF_000005845.2,b0123,cueO,GCF_003697165.2,one_to_one,1,1,OG0000215,EAS44_RS19975,cueO,False
GCF_000005845.2,b0124,gcd,GCF_003697165.2,one_to_one,1,1,OG0000632,EAS44_RS19970,gcd,False
GCF_000005845.2,b0125,hpt,GCF_003697165.2,one_to_one,1,1,OG0000633,EAS44_RS19965,hpt,False
GCF_000005845.2,b0126,can,GCF_003697165.2,one_to_one,1,1,OG0000634,EAS44_RS19960,can,False
GCF_000005845.2,b0127,yadG,GCF_003697165.2,one_to_one,1,1,OG0000635,EAS44_RS19955,yadG,False
GCF_000005845.2,b0128,yadH,GCF_003697165.2,one_to_one,1,1,OG0000636,EAS44_RS19950,yadH,False
GCF_000005845.2,b0129,yadI,GCF_003697165.2,one_to_one,1,1,OG0003153,EAS44_RS19945,yadI,False
GCF_000005845.2,b0130,yadE,GCF_003697165.2,one_to_one,1,1,OG0000637,EAS44_RS19940,yadE,False
GCF_000005845.2,b0131,panD,GCF_003697165.2,one_to_one,1,1,OG0000638,EAS44_RS19935,panD,False
GCF_000005845.2,b0132,rpnC,GCF_003697165.2,one_to_one,1,1,OG0000375,EAS44_RS19930,rpnC,False
GCF_000005845.2,b0133,panC,GCF_003697165.2,one_to_one,1,1,OG0000639,EAS44_RS19925,panC,False
GCF_000005845.2,b0134,panB,GCF_003697165.2,one_to_one,1,1,OG0000640,EAS44_RS19920,panB,False
GCF_000005845.2,b0135,yadC,GCF_003697165.2,one_to_one,1,1,OG0000216,EAS44_RS19915,EAS44_RS19915,True
GCF_000005845.2,b0136,yadK,GCF_003697165.2,one_to_one,1,1,OG0000641,EAS44_RS19910,EAS44_RS19910,True
GCF_000005845.2,b0137,yadL,GCF_003697165.2,one_to_one,1,1,OG0000642,EAS44_RS19905,yadL,False
GCF_000005845.2,b0138,yadM,GCF_003697165.2,one_to_one,1,1,OG0000643,EAS44_RS19900,EAS44_RS19900,True
GCF_000005845.2,b0139,htrE,GCF_003697165.2,one_to_one,1,1,OG0000367,EAS44_RS19895,htrE,False
GCF_000005845.2,b0140,yadV,GCF_003697165.2,one_to_one,1,1,OG0003122,EAS44_RS19890,EAS44_RS19890,True
GCF_000005845.2,b0141,yadN,GCF_003697165.2,one_to_one,1,1,OG0000644,EAS44_RS19885,EAS44_RS19885,True
GCF_000005845.2,b0142,folK,GCF_003697165.2,one_to_one,1,1,OG0000645,EAS44_RS19880,folK,False
GCF_000005845.2,b0143,pcnB,GCF_003697165.2,one_to_one,1,1,OG0000646,EAS44_RS19875,pcnB,False
GCF_000005845.2,b0144,gluQ,GCF_003697165.2,one_to_one,1,1,OG0000647,EAS44_RS19870,gluQRS,True
GCF_000005845.2,b0145,dksA,GCF_003697165.2,one_to_one,1,1,OG0000648,EAS44_RS19865,dksA,False
GCF_000005845.2,b0146,sfsA,GCF_003697165.2,one_to_one,1,1,OG0003171,EAS44_RS19860,sfsA,False
GCF_000005845.2,b0147,thpR,GCF_003697165.2,one_to_one,1,1,OG0000649,EAS44_RS19855,thpR,False
GCF_000005845.2,b0148,hrpB,GCF_003697165.2,one_to_one,1,1,OG0003172,EAS44_RS19850,hrpB,False
GCF_000005845.2,b0149,mrcB,GCF_003697165.2,one_to_one,1,1,OG0000217,EAS44_RS19845,mrcB,False
GCF_000005845.2,b0150,fhuA,GCF_003697165.2,one_to_one,1,1,OG0000650,EAS44_RS19840,fhuA,False
GCF_000005845.2,b0151,fhuC,GCF_003697165.2,one_to_one,1,1,OG0000651,EAS44_RS19835,fhuC,False
GCF_000005845.2,b0152,fhuD,GCF_003697165.2,one_to_one,1,1,OG0000652,EAS44_RS19830,fhuD,False
GCF_000005845.2,b0153,fhuB,GCF_003697165.2,one_to_one,1,1,OG0000653,EAS44_RS19825,fhuB,False
GCF_000005845.2,b0154,hemL,GCF_003697165.2,one_to_one,1,1,OG0000654,EAS44_RS19820,hemL,False
GCF_000005845.2,b4765,yadX,GCF_003697165.2,one_to_one,1,1,OG0002999,EAS44_RS25415,yadX,False
GCF_000005845.2,b0155,clcA,GCF_003697165.2,one_to_one,1,1,OG0000655,EAS44_RS19815,clcA,False
GCF_000005845.2,b4728,yadW,GCF_003697165.2,one_to_one,1,1,OG0002984,EAS44_RS19810,yadW,False
GCF_000005845.2,b0156,erpA,GCF_003697165.2,one_to_one,1,1,OG0000656,EAS44_RS19805,erpA,False
GCF_000005845.2,b0157,yadS,GCF_003697165.2,one_to_one,1,1,OG0000657,EAS44_RS19800,yadS,False
GCF_000005845.2,b0158,btuF,GCF_003697165.2,one_to_one,1,1,OG0000658,EAS44_RS19795,btuF,False
GCF_000005845.2,b0159,mtn,GCF_003697165.2,one_to_one,1,1,OG0000659,EAS44_RS19790,mtnN,True
GCF_000005845.2,b0160,dgt,GCF_003697165.2,one_to_one,1,1,OG0000660,EAS44_RS19785,dgt,False
GCF_000005845.2,b0161,degP,GCF_003697165.2,one_to_one,1,1,OG0000430,EAS44_RS19780,degP,False
GCF_000005845.2,b0162,cdaR,GCF_003697165.2,one_to_one,1,1,OG0003173,EAS44_RS19775,cdaR,False
GCF_000005845.2,b0163,yaeH,GCF_003697165.2,one_to_one,1,1,OG0000661,EAS44_RS19770,yaeH,False
GCF_000005845.2,b0164,yaeI,GCF_003697165.2,no_ortholog,1,0,OG0003174,,,False
GCF_000005845.2,b0166,dapD,GCF_003697165.2,one_to_one,1,1,OG0000662,EAS44_RS19765,dapD,False
GCF_000005845.2,b0167,glnD,GCF_003697165.2,one_to_one,1,1,OG0000663,EAS44_RS19760,glnD,False
GCF_000005845.2,b0168,map,GCF_003697165.2,one_to_one,1,1,OG0000664,EAS44_RS19755,map,False
GCF_000005845.2,b4414,tff,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0169,rpsB,GCF_003697165.2,one_to_one,1,1,OG0000665,EAS44_RS19750,rpsB,False
GCF_000005845.2,b0170,tsf,GCF_003697165.2,one_to_one,1,1,OG0000666,EAS44_RS19745,tsf,False
GCF_000005845.2,b0171,pyrH,GCF_003697165.2,one_to_one,1,1,OG0000667,EAS44_RS19740,pyrH,False
GCF_000005845.2,b0172,frr,GCF_003697165.2,one_to_one,1,1,OG0000668,EAS44_RS19735,frr,False
GCF_000005845.2,b0173,dxr,GCF_003697165.2,one_to_one,1,1,OG0000669,EAS44_RS19730,ispC,True
GCF_000005845.2,b4809,ispZ,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0174,ispU,GCF_003697165.2,one_to_one,1,1,OG0000670,EAS44_RS19725,ispU,False
GCF_000005845.2,b0175,cdsA,GCF_003697165.2,one_to_one,1,1,OG0000671,EAS44_RS19720,cdsA,False
GCF_000005845.2,b0176,rseP,GCF_003697165.2,one_to_one,1,1,OG0000672,EAS44_RS19715,rseP,False
GCF_000005845.2,b0177,bamA,GCF_003697165.2,one_to_one,1,1,OG0000673,EAS44_RS19710,bamA,False
GCF_000005845.2,b0178,skp,GCF_003697165.2,one_to_one,1,1,OG0000674,EAS44_RS19705,skp,False
GCF_000005845.2,b0179,lpxD,GCF_003697165.2,one_to_one,1,1,OG0000675,EAS44_RS19700,lpxD,False
GCF_000005845.2,b0180,fabZ,GCF_003697165.2,one_to_one,1,1,OG0000676,EAS44_RS19695,fabZ,False
GCF_000005845.2,b0181,lpxA,GCF_003697165.2,one_to_one,1,1,OG0000677,EAS44_RS19690,lpxA,False
GCF_000005845.2,b0182,lpxB,GCF_003697165.2,one_to_one,1,1,OG0000678,EAS44_RS19685,lpxB,False
GCF_000005845.2,b0183,rnhB,GCF_003697165.2,one_to_one,1,1,OG0000679,EAS44_RS19680,rnhB,False
GCF_000005845.2,b0184,dnaE,GCF_003697165.2,one_to_one,1,1,OG0000680,EAS44_RS19675,dnaE,False
GCF_000005845.2,b0185,accA,GCF_003697165.2,one_to_one,1,1,OG0000681,EAS44_RS19670,accA,False
GCF_000005845.2,b0186,ldcC,GCF_003697165.2,one_to_many,1,2,OG0003139,EAS44_RS19665;EAS44_RS22260,EAS44_RS22260;ldcC,False
GCF_000005845.2,b0187,yaeR,GCF_003697165.2,one_to_one,1,1,OG0000682,EAS44_RS19660,yaeR,False
GCF_000005845.2,b0188,tilS,GCF_003697165.2,one_to_one,1,1,OG0000683,EAS44_RS19655,tilS,False
GCF_000005845.2,b0189,rof,GCF_003697165.2,one_to_one,1,1,OG0000684,EAS44_RS19650,rof,False
GCF_000005845.2,b4406,yaeP,GCF_003697165.2,one_to_one,1,1,OG0003017,EAS44_RS19645,yaeP,False
GCF_000005845.2,b0190,yaeQ,GCF_003697165.2,one_to_one,1,1,OG0000685,EAS44_RS19640,yaeQ,False
GCF_000005845.2,b0191,arfB,GCF_003697165.2,one_to_one,1,1,OG0000686,EAS44_RS19635,arfB,False
GCF_000005845.2,b0192,nlpE,GCF_003697165.2,one_to_one,1,1,OG0000687,EAS44_RS19630,nlpE,False
GCF_000005845.2,b0193,yaeF,GCF_003697165.2,one_to_one,1,1,OG0000688,EAS44_RS19625,yaeF,False
GCF_000005845.2,b0194,proS,GCF_003697165.2,one_to_one,1,1,OG0000689,EAS44_RS19620,proS,False
GCF_000005845.2,b0195,trmO,GCF_003697165.2,one_to_one,1,1,OG0000690,EAS44_RS19615,tsaA,True
GCF_000005845.2,b0196,rcsF,GCF_003697165.2,one_to_one,1,1,OG0000691,EAS44_RS19610,rcsF,False
GCF_000005845.2,b0197,metQ,GCF_003697165.2,many_to_one,2,1,OG0000033,EAS44_RS19605,metQ,False
GCF_000005845.2,b0198,metI,GCF_003697165.2,one_to_one,1,1,OG0000692,EAS44_RS19600,metI,False
GCF_000005845.2,b0199,metN,GCF_003697165.2,one_to_one,1,1,OG0000693,EAS44_RS19595,metN,False
GCF_000005845.2,b0200,gmhB,GCF_003697165.2,one_to_one,1,1,OG0000694,EAS44_RS19590,gmhB,False
GCF_000005845.2,b0201,rrsH,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0202,ileV,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0203,alaV,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0204,rrlH,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0205,rrfH,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0206,aspU,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0207,dkgB,GCF_003697165.2,one_to_one,1,1,OG0000695,EAS44_RS19555,dkgB,False
GCF_000005845.2,b0208,yafC,GCF_003697165.2,one_to_one,1,1,OG0000696,EAS44_RS19550,yafC,False
GCF_000005845.2,b0209,yafD,GCF_003697165.2,one_to_one,1,1,OG0000697,EAS44_RS19545,yafD,False
GCF_000005845.2,b0210,yafE,GCF_003697165.2,one_to_one,1,1,OG0003175,EAS44_RS19540,EAS44_RS19540,True
GCF_000005845.2,b0211,mltD,GCF_003697165.2,one_to_one,1,1,OG0000123,EAS44_RS19535,mltD,False
GCF_000005845.2,b0212,gloB,GCF_003697165.2,one_to_one,1,1,OG0000698,EAS44_RS19530,gloB,False
GCF_000005845.2,b4815,ykfO,GCF_003697165.2,no_ortholog,1,0,OG0005997,,,False
GCF_000005845.2,b0213,yafS,GCF_003697165.2,one_to_one,1,1,OG0000699,EAS44_RS19525,yafS,False
GCF_000005845.2,b0214,rnhA,GCF_003697165.2,one_to_one,1,1,OG0000700,EAS44_RS19520,rnhA,False
GCF_000005845.2,b0215,dnaQ,GCF_003697165.2,one_to_one,1,1,OG0000701,EAS44_RS19515,dnaQ,False
GCF_000005845.2,b0216,aspV,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0217,yafT,GCF_003697165.2,one_to_one,1,1,OG0003176,EAS44_RS19505,EAS44_RS19505,True
GCF_000005845.2,b4586,ykfM,GCF_003697165.2,no_ortholog,1,0,OG0004497,,,False
GCF_000005845.2,b0218,yafU,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4503,yafF,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0219,yafV,GCF_003697165.2,one_to_one,1,1,OG0000702,EAS44_RS19380,yafV,False
GCF_000005845.2,b0220,ivy,GCF_003697165.2,one_to_one,1,1,OG0000703,EAS44_RS19375,ivy,False
GCF_000005845.2,b0221,fadE,GCF_003697165.2,one_to_one,1,1,OG0000704,EAS44_RS19370,fadE,False
GCF_000005845.2,b0222,gmhA,GCF_003697165.2,one_to_one,1,1,OG0000705,EAS44_RS19365,lpcA,True
